,employee_id,name,age,email,department,salary,city,bonus,tax,net_salary,month,sales,subjects,day,temp,condition
0,14,Laurie Cox,22,terri73@example.org,Civil,63040,Jacquelineburgh,3152.0,6304.0,56736.0,0.0,0.0,NA,NA,0,NA
1,20,Justin Robinson,43,jadkins@example.com,Civil,97079,East Ericchester,4853.95,9707.9,87371.1,0.0,0.0,NA,NA,0,NA
2,10,Mary Hoover,29,khernandez@example.com,Civil,90623,Port Thomasfurt,0.0,,,0.0,0.0,NA,NA,0,NA
3,24,Heather Bailey,23,harrisedward@example.org,Civil,37738,Kristyview,1886.9,3773.8,33964.2,0.0,0.0,NA,NA,0,NA
4,14,Laurie Cox,22,terri73@example.org,Civil,63040,Jacquelineburgh,0.0,,,0.0,0.0,NA,NA,0,NA
5,28,Hannah Reed,34,brandi23@example.org,Civil,87249,New Susan,4362.45,8724.9,78524.1,0.0,0.0,NA,NA,0,NA
6,7,Craig Lewis,22,matthew34@example.net,Civil,34322,Christophermouth,0.0,,,0.0,0.0,NA,NA,0,NA
7,4,Paul Andrews,25,whitemichael@example.com,Civil,95395,Lake Robertfurt,0.0,,,0.0,0.0,NA,NA,0,NA
8,21,Taylor Kerr,54,hughesdeborah@example.net,Civil,65482,Port Amandabury,3274.1000000000004,6548.200000000001,58933.8,0.0,0.0,NA,NA,0,NA
9,10,Mary Hoover,29,khernandez@example.com,Civil,90623,Port Thomasfurt,4531.150000000001,9062.3,81560.7,0.0,0.0,NA,NA,0,NA
10,22,Jared Ferguson,32,sandra38@example.com,Civil,81867,West Amanda,4093.35,8186.700000000001,73680.3,0.0,0.0,NA,NA,0,NA
11,20,Justin Robinson,43,jadkins@example.com,Civil,97079,East Ericchester,0.0,,,0.0,0.0,NA,NA,0,NA
12,7,Craig Lewis,22,matthew34@example.net,Civil,34322,Christophermouth,1716.1,3432.2000000000003,30889.8,0.0,0.0,NA,NA,0,NA
13,21,Taylor Kerr,54,hughesdeborah@example.net,Civil,65482,Port Amandabury,0.0,,,0.0,0.0,NA,NA,0,NA
14,22,Jared Ferguson,32,sandra38@example.com,Civil,81867,West Amanda,0.0,,,0.0,0.0,NA,NA,0,NA
15,4,Paul Andrews,25,whitemichael@example.com,Civil,95395,Lake Robertfurt,4769.75,9539.5,85855.5,0.0,0.0,NA,NA,0,NA
16,24,Heather Bailey,23,harrisedward@example.org,Civil,37738,Kristyview,0.0,,,0.0,0.0,NA,NA,0,NA
17,28,Hannah Reed,34,brandi23@example.org,Civil,87249,New Susan,0.0,,,0.0,0.0,NA,NA,0,NA
18,23,Stephanie Murray,23,terri73@example.net,Electrical,49030,Kristyport,0.0,,,0.0,0.0,NA,NA,0,NA
